Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
C. lanatus	SRR13517453	passes the trimming step	not used for transcript reconstruction	20380513/20380513	66.0749%	IU
C. lanatus	SRR13517454	passes the trimming step	not used for transcript reconstruction	20105739/20105739	67.0491%	IU
C. lanatus	SRR13517455	passes the trimming step	not used for transcript reconstruction	19104393/19104393	66.3111%	IU
C. lanatus	SRR13517456	passes the trimming step	not used for transcript reconstruction	20276439/20276439	67.3218%	IU
C. lanatus	SRR13517457	passes the trimming step	not used for transcript reconstruction	20100775/20100775	65.2255%	IU
C. lanatus	SRR13517458	passes the trimming step	not used for transcript reconstruction	20225938/20225938	64.9864%	IU
C. lanatus	SRR13517459	passes the trimming step	not used for transcript reconstruction	19485118/19485118	66.3115%	IU
C. lanatus	SRR13517460	passes the trimming step	not used for transcript reconstruction	20476156/20476156	65.2548%	IU
C. lanatus	SRR13517461	passes the trimming step	not used for transcript reconstruction	19495192/19495192	65.609%	IU
C. lanatus	SRR13517462	passes the trimming step	not used for transcript reconstruction	20162772/20162772	62.9082%	IU
C. lanatus	SRR13517463	passes the trimming step	not used for transcript reconstruction	19938230/19938230	64.6553%	IU
C. lanatus	SRR13517464	passes the trimming step	not used for transcript reconstruction	21280343/21280343	65.4522%	IU
C. lanatus	SRR13517465	passes the trimming step	not used for transcript reconstruction	21229075/21229075	67.0298%	IU
C. lanatus	SRR13517466	passes the trimming step	not used for transcript reconstruction	20281093/20281093	65.7913%	IU
C. lanatus	SRR13517467	passes the trimming step	not used for transcript reconstruction	20154012/20154012	65.2366%	IU
C. lanatus	SRR13517468	passes the trimming step	not used for transcript reconstruction	20186299/20186299	65.9027%	IU
C. lanatus	SRR13517469	passes the trimming step	not used for transcript reconstruction	20025641/20025641	65.9663%	IU
C. lanatus	SRR13517470	passes the trimming step	not used for transcript reconstruction	21054044/21054044	67.8908%	IU
C. lanatus	SRR13517471	passes the trimming step	not used for transcript reconstruction	22110961/22110961	66.866%	IU
C. lanatus	SRR13517472	passes the trimming step	not used for transcript reconstruction	21162003/21162003	65.5521%	IU
C. lanatus	SRR13517473	passes the trimming step	not used for transcript reconstruction	20103283/20103283	64.9792%	IU
C. lanatus	SRR13517474	passes the trimming step	not used for transcript reconstruction	20896930/20896930	66.7328%	IU
C. lanatus	SRR13517475	passes the trimming step	not used for transcript reconstruction	21647461/21647461	61.9789%	IU
C. lanatus	SRR13517476	passes the trimming step	not used for transcript reconstruction	21945254/21945254	67.2928%	IU
C. lanatus	SRR13517477	passes the trimming step	not used for transcript reconstruction	22336928/22336928	67.306%	IU
C. lanatus	SRR13517478	passes the trimming step	not used for transcript reconstruction	19317348/19317348	68.6629%	IU
C. lanatus	SRR13517479	passes the trimming step	not used for transcript reconstruction	20155674/20155674	68.7353%	IU
C. lanatus	SRR13759167	passes the trimming step	not used for transcript reconstruction	24464494/24464494	63.6656%	IU
C. lanatus	SRR13759168	passes the trimming step	not used for transcript reconstruction	23572338/23572338	62.518%	IU
C. lanatus	SRR13759169	passes the trimming step	not used for transcript reconstruction	26691057/26691057	62.8705%	IU
C. lanatus	SRR13759170	passes the trimming step	not used for transcript reconstruction	25674819/25674819	62.1357%	IU
C. lanatus	SRR13759171	passes the trimming step	not used for transcript reconstruction	25864722/25864722	62.4104%	IU
C. lanatus	SRR13759172	passes the trimming step	not used for transcript reconstruction	29223356/29223356	61.2434%	IU
C. lanatus	SRR13759173	passes the trimming step	not used for transcript reconstruction	26458601/26458601	61.5954%	IU
C. lanatus	SRR13759174	passes the trimming step	not used for transcript reconstruction	30213226/30213226	61.5688%	IU
C. lanatus	SRR13759175	passes the trimming step	not used for transcript reconstruction	20726552/20726552	62.5531%	IU
C. lanatus	SRR13759176	passes the trimming step	not used for transcript reconstruction	26552401/26552401	62.7967%	IU
C. lanatus	SRR13759177	passes the trimming step	not used for transcript reconstruction	23681075/23681075	59.7716%	IU
C. lanatus	SRR13759178	passes the trimming step	not used for transcript reconstruction	29610483/29610483	62.4353%	IU
C. lanatus	SRR14226634	passes the trimming step	not used for transcript reconstruction	8604420/8604420	64.7474%	IU
C. lanatus	SRR14226635	passes the trimming step	not used for transcript reconstruction	17835867/17835867	67.8588%	IU
C. lanatus	SRR14226636	passes the trimming step	not used for transcript reconstruction	19003270/19003270	67.8436%	IU
C. lanatus	SRR14226637	passes the trimming step	not used for transcript reconstruction	21054100/21054100	47.8134%	IU
C. lanatus	SRR14226642	passes the trimming step	not used for transcript reconstruction	7304230/7304230	63.7342%	IU
C. lanatus	SRR14226643	passes the trimming step	not used for transcript reconstruction	14792335/14792335	59.8248%	IU
C. lanatus	SRR14226644	passes the trimming step	not used for transcript reconstruction	15194754/15194754	58.3199%	IU
C. lanatus	SRR14226645	passes the trimming step	not used for transcript reconstruction	16829569/16829569	54.5447%	IU
C. lanatus	SRR14226646	passes the trimming step	not used for transcript reconstruction	11692440/11692440	66.6839%	IU
C. lanatus	SRR14410981	passes the trimming step	used for transcript reconstruction	18442031/18442031	56.2489%	ISF
C. lanatus	SRR14410982	passes the trimming step	used for transcript reconstruction	15476841/15476841	56.5812%	ISF
C. lanatus	SRR14410983	passes the trimming step	used for transcript reconstruction	17304096/17304096	56.5766%	ISF
C. lanatus	SRR14410984	passes the trimming step	used for transcript reconstruction	17258520/17258520	56.3289%	ISF
C. lanatus	SRR14410985	passes the trimming step	used for transcript reconstruction	17691676/17691676	58.3508%	ISF
C. lanatus	SRR14410986	passes the trimming step	used for transcript reconstruction	16130023/16130023	57.5712%	ISF
C. lanatus	SRR14692540	passes the trimming step	not used for transcript reconstruction	71539622/71539622	61.6082%	IU
C. lanatus	SRR14692541	passes the trimming step	not used for transcript reconstruction	53915775/53915775	65.1266%	IU
C. lanatus	SRR14692542	passes the trimming step	not used for transcript reconstruction	70261578/70261578	62.1871%	IU
C. lanatus	SRR16280132	passes the trimming step	not used for transcript reconstruction	21874608/21874608	67.0488%	IU
C. lanatus	SRR16280133	passes the trimming step	not used for transcript reconstruction	22558915/22558915	67.7117%	IU
C. lanatus	SRR16280134	passes the trimming step	not used for transcript reconstruction	21986989/21986989	68.1413%	IU
C. lanatus	SRR16280135	passes the trimming step	not used for transcript reconstruction	19808954/19808954	68.3955%	IU
C. lanatus	SRR16280136	passes the trimming step	not used for transcript reconstruction	20940540/20940540	68.0916%	IU
C. lanatus	SRR16280137	passes the trimming step	not used for transcript reconstruction	21970726/21970726	67.0686%	IU
C. lanatus	SRR16280138	passes the trimming step	not used for transcript reconstruction	22201070/22201070	68.4346%	IU
C. lanatus	SRR16280139	passes the trimming step	not used for transcript reconstruction	19848542/19848542	67.7822%	IU
C. lanatus	SRR16280140	passes the trimming step	not used for transcript reconstruction	21530319/21530319	67.1307%	IU
C. lanatus	SRR16290672	passes the trimming step	not used for transcript reconstruction	23400922/23400922	54.8718%	IU
C. lanatus	SRR16290673	passes the trimming step	not used for transcript reconstruction	24506891/24506891	57.3162%	IU
C. lanatus	SRR16290674	passes the trimming step	not used for transcript reconstruction	23347754/23347754	52.486%	IU
C. lanatus	SRR16464287	passes the trimming step	not used for transcript reconstruction	25947111/25947111	51.1795%	IU
C. lanatus	SRR16464288	passes the trimming step	not used for transcript reconstruction	22457268/22457268	54.3811%	IU
C. lanatus	SRR16464289	passes the trimming step	not used for transcript reconstruction	21277850/21277850	51.2363%	IU
C. lanatus	SRR16465757	passes the trimming step	not used for transcript reconstruction	24795917/24795917	60.6379%	IU
C. lanatus	SRR16465758	passes the trimming step	not used for transcript reconstruction	25997232/25997232	55.4017%	IU
C. lanatus	SRR16465759	passes the trimming step	not used for transcript reconstruction	22594663/22594663	55.5139%	IU
C. lanatus	SRR17043510	passes the trimming step	used for transcript reconstruction	23357126/23357126	64.0047%	ISR
