Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
C. lanatus	SRR494406	passes the trimming step	used for transcript reconstruction	9197627	52.7794%	SR
C. lanatus	SRR494407	passes the trimming step	used for transcript reconstruction	9742777	65.9655%	SR
C. lanatus	SRR494408	passes the trimming step	used for transcript reconstruction	17232151	61.9707%	SR
C. lanatus	SRR494409	passes the trimming step	used for transcript reconstruction	10959783	58.7297%	SR
C. lanatus	SRR494410	passes the trimming step	used for transcript reconstruction	12317570	70.007%	SR
C. lanatus	SRR494411	passes the trimming step	used for transcript reconstruction	11246896	42.9741%	SR
C. lanatus	SRR494412	passes the trimming step	used for transcript reconstruction	8877196	47.8208%	SR
C. lanatus	SRR494413	passes the trimming step	used for transcript reconstruction	10471356	54.4231%	SR
C. lanatus	SRR494414	passes the trimming step	used for transcript reconstruction	9409010	27.196%	SR
C. lanatus	SRR494415	passes the trimming step	used for transcript reconstruction	7391193	51.1337%	SR
C. lanatus	SRR494416	passes the trimming step	used for transcript reconstruction	7836650	51.7843%	SR
C. lanatus	SRR494417	passes the trimming step	used for transcript reconstruction	7685086	72.7566%	SR
C. lanatus	SRR494418	passes the trimming step	used for transcript reconstruction	9237440	45.9441%	SR
C. lanatus	SRR494419	passes the trimming step	used for transcript reconstruction	11672008	48.7418%	SR
C. lanatus	SRR494420	passes the trimming step	used for transcript reconstruction	9833895	58.4883%	SR
C. lanatus	SRR494421	passes the trimming step	used for transcript reconstruction	10639746	67.326%	SR
C. lanatus	SRR494474	passes the trimming step	used for transcript reconstruction	9673539/9673539	56.5753%	ISR
C. lanatus	SRR494479	passes the trimming step	used for transcript reconstruction	7809174/7809174	70.8047%	ISR
C. lanatus	SRR5100272	passes the trimming step	not used for transcript reconstruction	17925069/17925069	71.8181%	IU
C. lanatus	SRR5100273	passes the trimming step	not used for transcript reconstruction	19763917/19763917	71.907%	IU
C. lanatus	SRR518989	doesn't pass the trimming step	NA	0/0	NA	NA
C. lanatus	SRR518992	doesn't pass the trimming step	NA	0/0	NA	NA
C. lanatus	SRR518993	doesn't pass the trimming step	NA	0/0	NA	NA
C. lanatus	SRR5405076	passes the trimming step	not used for transcript reconstruction	11264343/11264343	66.4501%	IU
C. lanatus	SRR5405077	passes the trimming step	not used for transcript reconstruction	5404472/5404472	65.163%	IU
C. lanatus	SRR5644040	passes the trimming step	not used for transcript reconstruction	22287196/22287196	54.8117%	IU
C. lanatus	SRR5644048	passes the trimming step	not used for transcript reconstruction	23422006/23422006	61.6668%	IU
C. lanatus	SRR5644056	passes the trimming step	not used for transcript reconstruction	22492605/22492605	20.7987%	IU
C. lanatus	SRR5644060	passes the trimming step	not used for transcript reconstruction	21992720/21992720	58.3572%	IU
C. lanatus	SRR5821650	passes the trimming step	not used for transcript reconstruction	162371617/162371617	63.1346%	IU
C. lanatus	SRR6239927	passes the trimming step	not used for transcript reconstruction	9160860/9160860	65.0845%	IU
C. lanatus	SRR6239928	passes the trimming step	not used for transcript reconstruction	10617707/10617707	66.6721%	IU
C. lanatus	SRR6239929	passes the trimming step	not used for transcript reconstruction	13908363/13908363	66.682%	IU
C. lanatus	SRR6239930	passes the trimming step	not used for transcript reconstruction	11946504/11946504	67.3963%	IU
C. lanatus	SRR6239931	passes the trimming step	not used for transcript reconstruction	10954139/10954139	67.7204%	IU
C. lanatus	SRR6239932	passes the trimming step	not used for transcript reconstruction	10249378/10249378	67.4222%	IU
C. lanatus	SRR6239933	passes the trimming step	not used for transcript reconstruction	11549757/11549757	67.6891%	IU
C. lanatus	SRR6239934	passes the trimming step	not used for transcript reconstruction	11260883/11260883	68.1138%	IU
C. lanatus	SRR6239935	passes the trimming step	not used for transcript reconstruction	15243081/15243081	67.1395%	IU
C. lanatus	SRR6239936	passes the trimming step	not used for transcript reconstruction	12167441/12167441	67.8653%	IU
C. lanatus	SRR6239937	passes the trimming step	not used for transcript reconstruction	10129204/10129204	67.6463%	IU
C. lanatus	SRR6239938	passes the trimming step	not used for transcript reconstruction	13658753/13658753	67.5197%	IU
C. lanatus	SRR6239939	passes the trimming step	not used for transcript reconstruction	13811996/13811996	67.332%	IU
C. lanatus	SRR6239940	passes the trimming step	not used for transcript reconstruction	11014265/11014265	67.7992%	IU
C. lanatus	SRR6239941	passes the trimming step	not used for transcript reconstruction	11123822/11123822	67.3207%	IU
C. lanatus	SRR6239942	passes the trimming step	not used for transcript reconstruction	13766584/13766584	66.9559%	IU
C. lanatus	SRR6239943	passes the trimming step	not used for transcript reconstruction	11682670/11682670	66.9027%	IU
C. lanatus	SRR6239944	passes the trimming step	not used for transcript reconstruction	12742484/12742484	67.1101%	IU
C. lanatus	SRR6239945	passes the trimming step	not used for transcript reconstruction	12625733/12625733	65.9891%	IU
C. lanatus	SRR6239946	passes the trimming step	not used for transcript reconstruction	13655692/13655692	65.8048%	IU
C. lanatus	SRR6239947	passes the trimming step	not used for transcript reconstruction	11406504/11406504	68.0905%	IU
C. lanatus	SRR6239948	passes the trimming step	not used for transcript reconstruction	12303382/12303382	67.2981%	IU
C. lanatus	SRR6239949	passes the trimming step	not used for transcript reconstruction	12063886/12063886	65.6102%	IU
C. lanatus	SRR6239950	passes the trimming step	not used for transcript reconstruction	12752522/12752522	67.1004%	IU
C. lanatus	SRR6320481	passes the trimming step	not used for transcript reconstruction	2308071/2308071	70.6663%	IU
C. lanatus	SRR6320482	passes the trimming step	not used for transcript reconstruction	3160563/3160563	67.6988%	IU
C. lanatus	SRR6389278	passes the trimming step	not used for transcript reconstruction	23596646/23596646	62.4755%	IU
C. lanatus	SRR6389279	passes the trimming step	not used for transcript reconstruction	27538556/27538556	62.1351%	IU
C. lanatus	SRR6389280	passes the trimming step	not used for transcript reconstruction	22170306/22170306	54.2964%	IU
C. lanatus	SRR6389281	passes the trimming step	not used for transcript reconstruction	23012358/23012358	58.5163%	IU
C. lanatus	SRR6389282	passes the trimming step	not used for transcript reconstruction	25572827/25572827	62.4767%	IU
C. lanatus	SRR6389283	passes the trimming step	not used for transcript reconstruction	23815508/23815508	61.2123%	IU
C. lanatus	SRR6389284	passes the trimming step	not used for transcript reconstruction	22504647/22504647	59.1312%	IU
C. lanatus	SRR6389285	passes the trimming step	not used for transcript reconstruction	24407085/24407085	59.6846%	IU
C. lanatus	SRR6389286	passes the trimming step	not used for transcript reconstruction	24024707/24024707	62.6687%	IU
C. lanatus	SRR6389287	passes the trimming step	not used for transcript reconstruction	23384455/23384455	58.9228%	IU
C. lanatus	SRR6389288	passes the trimming step	not used for transcript reconstruction	24814557/24814557	57.1888%	IU
C. lanatus	SRR6389289	passes the trimming step	not used for transcript reconstruction	21038325/21038325	61.9534%	IU
C. lanatus	SRR7075814	passes the trimming step	not used for transcript reconstruction	10514585	64.9942%	U
C. lanatus	SRR7075815	passes the trimming step	not used for transcript reconstruction	9436200	69.1749%	U
C. lanatus	SRR7075816	passes the trimming step	not used for transcript reconstruction	9704237	73.0601%	U
C. lanatus	SRR7075817	passes the trimming step	not used for transcript reconstruction	10159118	73.4371%	U
C. lanatus	SRR7075818	passes the trimming step	not used for transcript reconstruction	9939989	72.9615%	U
C. lanatus	SRR7075819	passes the trimming step	not used for transcript reconstruction	10086254	73.2805%	U
C. lanatus	SRR7075820	passes the trimming step	not used for transcript reconstruction	9934319	67.4417%	U
C. lanatus	SRR7075821	passes the trimming step	not used for transcript reconstruction	9743122	67.0809%	U
C. lanatus	SRR7075822	passes the trimming step	not used for transcript reconstruction	9762977	68.9829%	U
C. lanatus	SRR7075823	passes the trimming step	not used for transcript reconstruction	9488645	66.5103%	U
C. lanatus	SRR7075824	passes the trimming step	not used for transcript reconstruction	12610945	71.144%	U
C. lanatus	SRR7075825	passes the trimming step	not used for transcript reconstruction	11660464	71.1488%	U
C. lanatus	SRR7075826	passes the trimming step	not used for transcript reconstruction	11002860	64.6028%	U
C. lanatus	SRR7075827	passes the trimming step	not used for transcript reconstruction	10685956	65.4557%	U
C. lanatus	SRR7075828	passes the trimming step	not used for transcript reconstruction	11303991	72.3902%	U
C. lanatus	SRR7075829	passes the trimming step	not used for transcript reconstruction	10979811	64.7171%	U
C. lanatus	SRR7361584	passes the trimming step	not used for transcript reconstruction	23113933/23113933	63.2038%	IU
C. lanatus	SRR7361585	passes the trimming step	not used for transcript reconstruction	20598676/20598676	60.9375%	IU
C. lanatus	SRR7361586	passes the trimming step	not used for transcript reconstruction	19257800/19257800	58.8118%	IU
C. lanatus	SRR7361587	passes the trimming step	not used for transcript reconstruction	18104374/18104374	52.8368%	IU
C. lanatus	SRR7361588	passes the trimming step	not used for transcript reconstruction	19655745/19655745	63.2787%	IU
C. lanatus	SRR7361589	passes the trimming step	not used for transcript reconstruction	19151731/19151731	54.1143%	IU
C. lanatus	SRR7361590	passes the trimming step	not used for transcript reconstruction	20717156/20717156	57.1602%	IU
C. lanatus	SRR7361591	passes the trimming step	not used for transcript reconstruction	20381839/20381839	61.6823%	IU
C. lanatus	SRR7361592	passes the trimming step	not used for transcript reconstruction	21242654/21242654	53.119%	IU
C. lanatus	SRR7361593	passes the trimming step	not used for transcript reconstruction	19238144/19238144	59.8355%	IU
C. lanatus	SRR7361594	passes the trimming step	not used for transcript reconstruction	22206861/22206861	61.0228%	IU
C. lanatus	SRR7361595	passes the trimming step	not used for transcript reconstruction	18581481/18581481	62.1128%	IU
C. lanatus	SRR7361596	passes the trimming step	not used for transcript reconstruction	20608544/20608544	61.8778%	IU
C. lanatus	SRR7361597	passes the trimming step	not used for transcript reconstruction	21788710/21788710	62.0221%	IU
C. lanatus	SRR7361598	passes the trimming step	not used for transcript reconstruction	19681927/19681927	54.9523%	IU
C. lanatus	SRR7361599	passes the trimming step	not used for transcript reconstruction	20152046/20152046	57.655%	IU
C. lanatus	SRR7361600	passes the trimming step	not used for transcript reconstruction	20843127/20843127	61.4161%	IU
C. lanatus	SRR7361601	passes the trimming step	not used for transcript reconstruction	22409721/22409721	59.6729%	IU
C. lanatus	SRR7361602	passes the trimming step	not used for transcript reconstruction	17531238/17531238	32.2603%	IU
C. lanatus	SRR7361603	passes the trimming step	not used for transcript reconstruction	18641045/18641045	56.729%	IU
C. lanatus	SRR7361604	passes the trimming step	not used for transcript reconstruction	20321343/20321343	59.7012%	IU
C. lanatus	SRR7361605	passes the trimming step	not used for transcript reconstruction	21178226/21178226	61.057%	IU
C. lanatus	SRR7361606	passes the trimming step	not used for transcript reconstruction	20587238/20587238	61.9046%	IU
C. lanatus	SRR7361607	passes the trimming step	not used for transcript reconstruction	19780869/19780869	55.5418%	IU
C. lanatus	SRR7361608	passes the trimming step	not used for transcript reconstruction	22284752/22284752	59.0603%	IU
C. lanatus	SRR7361609	passes the trimming step	not used for transcript reconstruction	25134377/25134377	61.6987%	IU
C. lanatus	SRR7361610	passes the trimming step	not used for transcript reconstruction	19669667/19669667	54.7405%	IU
C. lanatus	SRR7408296	passes the trimming step	not used for transcript reconstruction	19146744/19146744	57.7767%	IU
C. lanatus	SRR7408297	passes the trimming step	not used for transcript reconstruction	22269423/22269423	60.4477%	IU
C. lanatus	SRR7408298	passes the trimming step	not used for transcript reconstruction	22951619/22951619	59.5689%	IU
C. lanatus	SRR7408299	passes the trimming step	not used for transcript reconstruction	19091758/19091758	59.0183%	IU
C. lanatus	SRR7408300	passes the trimming step	not used for transcript reconstruction	20926253/20926253	57.9546%	IU
C. lanatus	SRR7408301	passes the trimming step	not used for transcript reconstruction	21419901/21419901	56.7172%	IU
C. lanatus	SRR7408302	passes the trimming step	not used for transcript reconstruction	21277056/21277056	58.1693%	IU
C. lanatus	SRR7408303	passes the trimming step	not used for transcript reconstruction	19596425/19596425	52.1627%	IU
C. lanatus	SRR7408304	passes the trimming step	not used for transcript reconstruction	19433838/19433838	54.7245%	IU
C. lanatus	SRR7408305	passes the trimming step	not used for transcript reconstruction	22223904/22223904	63.2932%	IU
C. lanatus	SRR7408306	passes the trimming step	not used for transcript reconstruction	22636648/22636648	59.3101%	IU
C. lanatus	SRR7408307	passes the trimming step	not used for transcript reconstruction	21894504/21894504	64.4215%	IU
C. lanatus	SRR7408308	passes the trimming step	not used for transcript reconstruction	21379620/21379620	62.1717%	IU
C. lanatus	SRR7408309	passes the trimming step	not used for transcript reconstruction	23024934/23024934	65.0048%	IU
C. lanatus	SRR7408310	passes the trimming step	not used for transcript reconstruction	21834687/21834687	64.8065%	IU
C. lanatus	SRR7408311	passes the trimming step	not used for transcript reconstruction	29257449/29257449	61.891%	IU
C. lanatus	SRR7408312	passes the trimming step	not used for transcript reconstruction	27546702/27546702	62.8065%	IU
C. lanatus	SRR7408313	passes the trimming step	not used for transcript reconstruction	20664663/20664663	63.4967%	IU
C. lanatus	SRR7408314	passes the trimming step	not used for transcript reconstruction	22168567/22168567	55.2217%	IU
C. lanatus	SRR7408315	passes the trimming step	not used for transcript reconstruction	20623080/20623080	54.214%	IU
C. lanatus	SRR7408316	passes the trimming step	not used for transcript reconstruction	21329527/21329527	54.3515%	IU
C. lanatus	SRR7408317	passes the trimming step	not used for transcript reconstruction	19178205/19178205	52.7312%	IU
C. lanatus	SRR7408318	passes the trimming step	not used for transcript reconstruction	20493393/20493393	59.2488%	IU
C. lanatus	SRR7408319	passes the trimming step	not used for transcript reconstruction	20832690/20832690	53.0434%	IU
C. lanatus	SRR7408320	passes the trimming step	not used for transcript reconstruction	19145956/19145956	59.8667%	IU
C. lanatus	SRR7408321	passes the trimming step	not used for transcript reconstruction	20924797/20924797	55.3286%	IU
C. lanatus	SRR7408322	passes the trimming step	not used for transcript reconstruction	20999858/20999858	52.7505%	IU
C. lanatus	SRR7408323	passes the trimming step	not used for transcript reconstruction	21227198/21227198	53.2557%	IU
C. lanatus	SRR7408324	passes the trimming step	not used for transcript reconstruction	19799608/19799608	56.4264%	IU
C. lanatus	SRR7760044	passes the trimming step	not used for transcript reconstruction	29139398/29139398	69.0058%	IU
C. lanatus	SRR7760045	passes the trimming step	not used for transcript reconstruction	29041955/29041955	69.9688%	IU
C. lanatus	SRR7760046	passes the trimming step	not used for transcript reconstruction	27245155/27245155	68.9831%	IU
C. lanatus	SRR7760047	passes the trimming step	not used for transcript reconstruction	21840905/21840905	68.983%	IU
C. lanatus	SRR7760048	passes the trimming step	not used for transcript reconstruction	22215246/22215246	61.6092%	IU
C. lanatus	SRR7760049	passes the trimming step	not used for transcript reconstruction	22951952/22951952	68.6983%	IU
C. lanatus	SRR7760050	passes the trimming step	not used for transcript reconstruction	26375791/26375791	64.4014%	IU
C. lanatus	SRR7760051	passes the trimming step	not used for transcript reconstruction	24080271/24080271	51.7598%	IU
C. lanatus	SRR7760052	passes the trimming step	not used for transcript reconstruction	28245834/28245834	67.5012%	IU
C. lanatus	SRR8177409	passes the trimming step	not used for transcript reconstruction	22723768/22723768	64.2492%	IU
C. lanatus	SRR8177410	passes the trimming step	not used for transcript reconstruction	21259037/21259037	63.9869%	IU
C. lanatus	SRR8177411	passes the trimming step	not used for transcript reconstruction	19995134/19995134	64.6667%	IU
C. lanatus	SRR8177412	passes the trimming step	not used for transcript reconstruction	18858305/18858305	63.7998%	IU
C. lanatus	SRR8177413	passes the trimming step	not used for transcript reconstruction	21846872/21846872	62.9528%	IU
C. lanatus	SRR8177414	passes the trimming step	not used for transcript reconstruction	22742252/22742252	63.3788%	IU
C. lanatus	SRR8177415	passes the trimming step	not used for transcript reconstruction	19028616/19028616	61.8131%	IU
C. lanatus	SRR8177416	passes the trimming step	not used for transcript reconstruction	20788886/20788886	63.1261%	IU
C. lanatus	SRR8177417	passes the trimming step	not used for transcript reconstruction	21090432/21090432	61.9456%	IU
C. lanatus	SRR8177418	passes the trimming step	not used for transcript reconstruction	22264736/22264736	60.1652%	IU
C. lanatus	SRR8177419	passes the trimming step	not used for transcript reconstruction	17989767/17989767	64.3488%	IU
C. lanatus	SRR8177420	passes the trimming step	not used for transcript reconstruction	19353065/19353065	64.1382%	IU
C. lanatus	SRR8177421	passes the trimming step	not used for transcript reconstruction	21277901/21277901	63.718%	IU
C. lanatus	SRR8177422	passes the trimming step	not used for transcript reconstruction	19195293/19195293	63.0062%	IU
C. lanatus	SRR8177423	passes the trimming step	not used for transcript reconstruction	21198752/21198752	64.1141%	IU
C. lanatus	SRR8177424	passes the trimming step	not used for transcript reconstruction	19320892/19320892	63.8166%	IU
C. lanatus	SRR8177425	passes the trimming step	not used for transcript reconstruction	20088769/20088769	64.1944%	IU
C. lanatus	SRR8177426	passes the trimming step	not used for transcript reconstruction	18084390/18084390	64.6235%	IU
C. lanatus	SRR8797148	passes the trimming step	used for transcript reconstruction	38116285/38116285	39.2441%	ISR
C. lanatus	SRR8797419	passes the trimming step	used for transcript reconstruction	34758630/34758630	39.21%	ISR
C. lanatus	SRR8946530	passes the trimming step	used for transcript reconstruction	47353300/47353300	41.2053%	ISR
C. lanatus	SRR8946531	passes the trimming step	used for transcript reconstruction	47108520/47108520	39.3825%	ISR
C. lanatus	SRR8946532	passes the trimming step	used for transcript reconstruction	45112145/45112145	1.92618%	ISR
C. lanatus	SRR8947090	passes the trimming step	used for transcript reconstruction	11240745	43.6745%	SR
C. lanatus	SRR8947091	passes the trimming step	used for transcript reconstruction	12295237	32.9136%	SR
C. lanatus	SRR8947092	passes the trimming step	used for transcript reconstruction	10033092	40.3038%	SR
C. lanatus	SRR8947093	passes the trimming step	used for transcript reconstruction	7836385	78.7979%	SR
C. lanatus	SRR8947094	passes the trimming step	used for transcript reconstruction	11442015	57.0765%	SR
C. lanatus	SRR8947095	passes the trimming step	used for transcript reconstruction	9811961	75.8507%	SR
C. lanatus	SRR8947096	passes the trimming step	used for transcript reconstruction	13332377	63.8011%	SR
C. lanatus	SRR8947097	passes the trimming step	used for transcript reconstruction	11231230	77.1922%	SR
C. lanatus	SRR8947098	passes the trimming step	used for transcript reconstruction	10179132	45.8894%	SR
C. lanatus	SRR8947099	passes the trimming step	used for transcript reconstruction	13746197	51.988%	SR
C. lanatus	SRR8947100	passes the trimming step	used for transcript reconstruction	13219516	61.2179%	SR
C. lanatus	SRR8947101	passes the trimming step	used for transcript reconstruction	17899448	44.2577%	SR
C. lanatus	SRR8947102	passes the trimming step	used for transcript reconstruction	9605240	75.6245%	SR
C. lanatus	SRR8947103	passes the trimming step	used for transcript reconstruction	12880545	74.4144%	SR
C. lanatus	SRR8947104	passes the trimming step	used for transcript reconstruction	9303574	78.3074%	SR
C. lanatus	SRR8947105	passes the trimming step	used for transcript reconstruction	7844829	79.2161%	SR
C. lanatus	SRR8947106	passes the trimming step	used for transcript reconstruction	9505930	75.4523%	SR
C. lanatus	SRR8947107	passes the trimming step	used for transcript reconstruction	7664526	76.7019%	SR
C. lanatus	SRR8947108	passes the trimming step	used for transcript reconstruction	10747368	76.5685%	SR
C. lanatus	SRR8947109	passes the trimming step	used for transcript reconstruction	9697279	76.3924%	SR
C. lanatus	SRR8947110	passes the trimming step	used for transcript reconstruction	10952515	59.241%	SR
C. lanatus	SRR8947111	passes the trimming step	used for transcript reconstruction	11459758	50.4367%	SR
C. lanatus	SRR8947112	passes the trimming step	used for transcript reconstruction	6090131	71.767%	SR
C. lanatus	SRR8947113	passes the trimming step	used for transcript reconstruction	7883261	72.9022%	SR
C. lanatus	SRR8947114	passes the trimming step	used for transcript reconstruction	12805649	50.5702%	SR
C. lanatus	SRR8947115	passes the trimming step	used for transcript reconstruction	12451244	60.9736%	SR
C. lanatus	SRR8947116	passes the trimming step	used for transcript reconstruction	10808428	43.8829%	SR
C. lanatus	SRR8947117	passes the trimming step	used for transcript reconstruction	12536295	57.9305%	SR
C. lanatus	SRR8947118	passes the trimming step	used for transcript reconstruction	12355177	49.7221%	SR
C. lanatus	SRR8947119	passes the trimming step	used for transcript reconstruction	11633915	53.9843%	SR
C. lanatus	SRR8947120	passes the trimming step	used for transcript reconstruction	11767522	58.5653%	SR
C. lanatus	SRR8947121	passes the trimming step	used for transcript reconstruction	14418569	57.0648%	SR
C. lanatus	SRR8947122	passes the trimming step	used for transcript reconstruction	8817075	75.1743%	SR
C. lanatus	SRR8947123	passes the trimming step	used for transcript reconstruction	14162517	74.0629%	SR
C. lanatus	SRR8947124	passes the trimming step	used for transcript reconstruction	12397639	42.9745%	SR
C. lanatus	SRR8947125	passes the trimming step	used for transcript reconstruction	9441896	74.7048%	SR
C. lanatus	SRR8947126	passes the trimming step	used for transcript reconstruction	9125316	76.6837%	SR
C. lanatus	SRR8947127	passes the trimming step	used for transcript reconstruction	12798096	75.4814%	SR
C. lanatus	SRR8947128	passes the trimming step	used for transcript reconstruction	11089138	75.1602%	SR
C. lanatus	SRR8947129	passes the trimming step	used for transcript reconstruction	16713436	77.4017%	SR
C. lanatus	SRR8947130	passes the trimming step	used for transcript reconstruction	8995724	77.2063%	SR
C. lanatus	SRR8947131	passes the trimming step	used for transcript reconstruction	13085538	54.9369%	SR
C. lanatus	SRR8947132	passes the trimming step	used for transcript reconstruction	15856590	79.805%	SR
C. lanatus	SRR8947133	passes the trimming step	used for transcript reconstruction	7324635	77.5411%	SR
C. lanatus	SRR8947134	passes the trimming step	used for transcript reconstruction	9715026	77.1903%	SR
C. lanatus	SRR8947135	passes the trimming step	used for transcript reconstruction	8372618	76.4343%	SR
C. lanatus	SRR8947136	passes the trimming step	used for transcript reconstruction	9840907	56.1616%	SR
C. lanatus	SRR8947137	passes the trimming step	used for transcript reconstruction	9925248	76.1582%	SR
C. lanatus	SRR8947138	passes the trimming step	used for transcript reconstruction	10428494	77.4345%	SR
C. lanatus	SRR8947139	passes the trimming step	used for transcript reconstruction	9806821	47.9559%	SR
C. lanatus	SRR8947140	passes the trimming step	used for transcript reconstruction	29777930	46.6581%	SR
C. lanatus	SRR8947141	passes the trimming step	used for transcript reconstruction	10900189	76.6266%	SR
C. lanatus	SRR8947142	passes the trimming step	used for transcript reconstruction	10334330	72.8685%	SR
C. lanatus	SRR8947143	passes the trimming step	used for transcript reconstruction	8344762	69.3135%	SR
C. lanatus	SRR8947144	passes the trimming step	used for transcript reconstruction	8644476	72.8782%	SR
C. lanatus	SRR8947145	passes the trimming step	used for transcript reconstruction	8523925	72.8946%	SR
C. lanatus	SRR8947146	passes the trimming step	used for transcript reconstruction	9291268	77.4922%	SR
C. lanatus	SRR8947147	passes the trimming step	used for transcript reconstruction	9506151	77.689%	SR
C. lanatus	SRR8947148	passes the trimming step	used for transcript reconstruction	10980440	76.8081%	SR
C. lanatus	SRR8947149	passes the trimming step	used for transcript reconstruction	14670310	77.4806%	SR
C. lanatus	SRR8947150	passes the trimming step	used for transcript reconstruction	12293670	56.5194%	SR
C. lanatus	SRR8947151	passes the trimming step	used for transcript reconstruction	13423109	61.2625%	SR
C. lanatus	SRR8947152	passes the trimming step	used for transcript reconstruction	12655231	53.9242%	SR
C. lanatus	SRR8947153	passes the trimming step	used for transcript reconstruction	11284514	62.8171%	SR
C. lanatus	SRR8947154	passes the trimming step	used for transcript reconstruction	11949876	22.8687%	SR
C. lanatus	SRR8947155	passes the trimming step	used for transcript reconstruction	31023699	57.1987%	SR
C. lanatus	SRR8947156	passes the trimming step	used for transcript reconstruction	12773388	51.0371%	SR
C. lanatus	SRR8947157	passes the trimming step	used for transcript reconstruction	10836696	49.198%	SR
C. lanatus	SRR8947158	passes the trimming step	used for transcript reconstruction	12189231	53.9064%	SR
C. lanatus	SRR8947159	passes the trimming step	used for transcript reconstruction	12682450	49.866%	SR
C. lanatus	SRR8947160	passes the trimming step	used for transcript reconstruction	10863743	61.5843%	SR
C. lanatus	SRR8947161	passes the trimming step	used for transcript reconstruction	12042885	55.655%	SR
C. lanatus	SRR9117586	passes the trimming step	not used for transcript reconstruction	26413723/26413723	59.282%	IU
C. lanatus	SRR9117587	passes the trimming step	not used for transcript reconstruction	25319018/25319018	60.7298%	IU
C. lanatus	SRR9117588	passes the trimming step	not used for transcript reconstruction	26150129/26150129	60.7997%	IU
C. lanatus	SRR9117589	passes the trimming step	not used for transcript reconstruction	25717468/25717468	60.7497%	IU
C. lanatus	SRR9117590	passes the trimming step	not used for transcript reconstruction	29398543/29398543	60.6719%	IU
C. lanatus	SRR9117591	passes the trimming step	not used for transcript reconstruction	23505941/23505941	59.6222%	IU
C. lanatus	SRR9117592	passes the trimming step	not used for transcript reconstruction	26252740/26252740	61.3071%	IU
C. lanatus	SRR9117593	passes the trimming step	not used for transcript reconstruction	24994045/24994045	60.8785%	IU
C. lanatus	SRR9117594	passes the trimming step	not used for transcript reconstruction	24588848/24588848	60.5753%	IU
C. lanatus	SRR9117595	passes the trimming step	not used for transcript reconstruction	26475369/26475369	61.5876%	IU
C. lanatus	SRR9117596	passes the trimming step	not used for transcript reconstruction	24683330/24683330	62.7649%	IU
C. lanatus	SRR9117597	passes the trimming step	not used for transcript reconstruction	23692327/23692327	62.1476%	IU
C. lanatus	SRR9117598	passes the trimming step	not used for transcript reconstruction	23926168/23926168	61.3074%	IU
C. lanatus	SRR9117599	passes the trimming step	not used for transcript reconstruction	26062236/26062236	56.8739%	IU
C. lanatus	SRR9117600	passes the trimming step	not used for transcript reconstruction	27809191/27809191	59.7399%	IU
C. lanatus	SRR9117601	passes the trimming step	not used for transcript reconstruction	22836842/22836842	60.5522%	IU
C. lanatus	SRR9117602	passes the trimming step	not used for transcript reconstruction	33178224/33178224	62.6322%	IU
C. lanatus	SRR9117603	passes the trimming step	not used for transcript reconstruction	24410709/24410709	62.3475%	IU
C. lanatus	SRR9117604	passes the trimming step	not used for transcript reconstruction	24873104/24873104	61.7561%	IU
C. lanatus	SRR9117605	passes the trimming step	not used for transcript reconstruction	20332555/20332555	60.7966%	IU
C. lanatus	SRR9117606	passes the trimming step	not used for transcript reconstruction	20686975/20686975	62.1216%	IU
C. lanatus	SRR9117607	passes the trimming step	not used for transcript reconstruction	24331333/24331333	58.743%	IU
C. lanatus	SRR9117608	passes the trimming step	not used for transcript reconstruction	23018670/23018670	59.7356%	IU
C. lanatus	SRR9117609	passes the trimming step	not used for transcript reconstruction	23689855/23689855	59.4999%	IU
C. lanatus	SRR915982	passes the trimming step	not used for transcript reconstruction	6726329	64.5296%	U
C. lanatus	SRR916132	passes the trimming step	not used for transcript reconstruction	6938177	70.3498%	U
C. lanatus	SRR916133	passes the trimming step	not used for transcript reconstruction	6994354	70.0501%	U
C. lanatus	SRR916135	passes the trimming step	not used for transcript reconstruction	6587253	70.4062%	U
C. lanatus	SRR916156	passes the trimming step	not used for transcript reconstruction	6736351	64.4418%	U
C. lanatus	SRR916184	passes the trimming step	not used for transcript reconstruction	6805302	65.5076%	U
C. lanatus	SRR916185	passes the trimming step	not used for transcript reconstruction	7033217	64.5306%	U
C. lanatus	SRR916186	passes the trimming step	not used for transcript reconstruction	6807087	65.547%	U
C. lanatus	SRR9306351	passes the trimming step	used for transcript reconstruction	13408181	76.9501%	SR
C. lanatus	SRR9306352	passes the trimming step	used for transcript reconstruction	14620054	79.0789%	SR
C. lanatus	SRR9306353	passes the trimming step	used for transcript reconstruction	20339475	77.9447%	SR
C. lanatus	SRR9306354	passes the trimming step	used for transcript reconstruction	14341186	79.8157%	SR
C. lanatus	SRR9306355	passes the trimming step	used for transcript reconstruction	53788773	79.9503%	SR
C. lanatus	SRR9306356	passes the trimming step	used for transcript reconstruction	57810715	78.3112%	SR
C. lanatus	SRR9306357	passes the trimming step	used for transcript reconstruction	13139712	79.5962%	SR
C. lanatus	SRR9306358	passes the trimming step	used for transcript reconstruction	15898255	78.5663%	SR
C. lanatus	SRR9306359	passes the trimming step	used for transcript reconstruction	13967443	79.5688%	SR
C. lanatus	SRR9306360	passes the trimming step	used for transcript reconstruction	14749711	78.6162%	SR
C. lanatus	SRR9306361	passes the trimming step	used for transcript reconstruction	12557567	79.2428%	SR
